"","country","Regions_Report","knowledge_level","trust_level"
"120","Spain",16,72.3926380368098,96.1145194274029
"121","Sri Lanka",12,67.6530612244898,91.6326530612245
"122","Sweden",15,73.2994923857868,97.0558375634518
"123","Switzerland",17,72.5840336134454,93.9075630252101
"124","Taiwan",10,51.8912529550827,88.5342789598109
"125","Tajikistan",9,58.8924387646432,92.9712460063898
"126","Tanzania",1,51.5463917525773,93.8144329896907
"127","Thailand",11,43.0825242718447,90.8980582524272
"128","The Gambia",5,27.6470588235294,81.8823529411765
"129","Togo",5,50.6976744186047,51.8604651162791
"130","Tunisia",3,54.630715123095,82.6494724501758
"131","Turkey",13,65.6851642129105,87.7689694224236
"132","Turkmenistan",9,82.2269807280514,90.8993576017131
"133","Uganda",1,61.8406285072952,76.0942760942761
"134","Ukraine",14,73.0285714285714,89.4857142857143
"135","United Arab Emirates",13,65.2375434530707,87.2537659327926
"136","United Kingdom",15,68.8708036622584,92.2685656154629
"137","United States",7,85.8638743455497,95.6020942408377
"138","Uruguay",8,45.4153182308522,83.7108953613808
"139","Uzbekistan",9,51.3319672131148,99.3852459016393
"140","Venezuela",8,42.1940928270042,76.4767932489452
"141","Vietnam",11,29.1981845688351,70.0453857791225
"142","Yemen",13,42.0792079207921,75
"143","Zambia",1,53.4168564920273,63.5535307517084
"144","Zimbabwe",1,51.1286681715576,74.4920993227991
